! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,F2 CORRIDOR,0.0,0.00,7.62,3.05,23.16,8.46,4.57,1,1,1,0.00,46.33,7.62,9.30,3.05,6.10,3.05,236.69,TARP,DOE-2,77.66,10.22,7.99,2.23,12,2,0,Yes
Zone Information,F2 N1 APARTMENT,0.0,11.58,9.30,3.05,17.37,13.11,4.57,1,1,1,11.58,23.16,9.30,16.92,3.05,6.10,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F2 N2 APARTMENT,0.0,23.16,9.30,3.05,28.95,13.11,4.57,1,1,1,23.16,34.75,9.30,16.92,3.05,6.10,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F2 NE APARTMENT,0.0,34.75,9.30,3.05,40.54,13.11,4.57,1,1,1,34.75,46.33,9.30,16.92,3.05,6.10,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F2 NW APARTMENT,0.0,0.00,9.30,3.05,5.79,13.11,4.57,1,1,1,0.00,11.58,9.30,16.92,3.05,6.10,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F2 S1 APARTMENT,0.0,11.58,0.00,3.05,17.37,3.81,4.57,1,1,1,11.58,23.16,0.00,7.62,3.05,6.10,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F2 S2 APARTMENT,0.0,23.16,0.00,3.05,28.95,3.81,4.57,1,1,1,23.16,34.75,0.00,7.62,3.05,6.10,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F2 SE APARTMENT,0.0,34.75,0.00,3.05,40.54,3.81,4.57,1,1,1,34.75,46.33,0.00,7.62,3.05,6.10,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F2 SW APARTMENT,0.0,0.00,0.00,3.05,5.79,3.81,4.57,1,1,1,0.00,11.58,0.00,7.62,3.05,6.10,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F3 CORRIDOR,0.0,0.00,7.62,6.10,23.16,8.46,7.62,1,1,1,0.00,46.33,7.62,9.30,6.10,9.14,3.05,236.69,TARP,DOE-2,77.66,10.22,7.99,2.23,12,2,0,Yes
Zone Information,F3 N1 APARTMENT,0.0,11.58,9.30,6.10,17.37,13.11,7.62,1,1,1,11.58,23.16,9.30,16.92,6.10,9.14,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F3 N2 APARTMENT,0.0,23.16,9.30,6.10,28.95,13.11,7.62,1,1,1,23.16,34.75,9.30,16.92,6.10,9.14,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F3 NE APARTMENT,0.0,34.75,9.30,6.10,40.54,13.11,7.62,1,1,1,34.75,46.33,9.30,16.92,6.10,9.14,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F3 NW APARTMENT,0.0,0.00,9.30,6.10,5.79,13.11,7.62,1,1,1,0.00,11.58,9.30,16.92,6.10,9.14,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F3 S1 APARTMENT,0.0,11.58,0.00,6.10,17.37,3.81,7.62,1,1,1,11.58,23.16,0.00,7.62,6.10,9.14,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F3 S2 APARTMENT,0.0,23.16,0.00,6.10,28.95,3.81,7.62,1,1,1,23.16,34.75,0.00,7.62,6.10,9.14,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F3 SE APARTMENT,0.0,34.75,0.00,6.10,40.54,3.81,7.62,1,1,1,34.75,46.33,0.00,7.62,6.10,9.14,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
