! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,BASEMENT,0.0,0.00,0.00,0.00,-26.67,35.05,-1.22,1,1,1,-53.34,4.29E-015,0.00,70.10,-2.44,0.00,2.44,9120.27,TARP,TARP,3739.35,0.00,0.00,0.00,6,0,0,Yes
Zone Information,CORRIDOR_FLR_1,0.0,0.00,0.00,0.00,-26.67,34.29,2.13,1,1,1,-53.34,2.43E-015,28.96,39.62,0.00,4.27,4.27,2428.79,TARP,TARP,569.03,91.07,83.26,0.00,7,4,0,Yes
Zone Information,CORRIDOR_FLR_2,0.0,0.00,0.00,0.00,-26.67,34.29,6.40,1,1,1,-53.34,2.43E-015,28.96,39.62,4.27,8.54,4.27,2428.79,TARP,TARP,569.03,91.07,91.07,0.00,6,0,0,Yes
Zone Information,CORRIDOR_FLR_5,0.0,0.00,0.00,0.00,-34.61,21.12,19.21,1,1,1,-53.34,9.33E-016,9.14,39.62,17.07,21.34,4.27,2141.32,TARP,TARP,501.68,78.06,78.06,0.00,10,0,0,Yes
Zone Information,CORRIDOR_NW_FLR_3,0.0,0.00,0.00,0.00,-40.30,28.14,10.67,1,1,1,-53.34,-10.67,4.57,65.53,8.54,12.80,4.27,2418.88,TARP,TARP,566.71,45.53,45.53,0.00,15,0,0,Yes
Zone Information,CORRIDOR_NW_FLR_4,0.0,0.00,0.00,0.00,-40.30,28.14,14.94,1,1,1,-53.34,-10.67,4.57,65.53,12.80,17.07,4.27,2418.88,TARP,TARP,566.71,45.53,45.53,0.00,15,0,0,Yes
Zone Information,CORRIDOR_SE_FLR_3,0.0,0.00,0.00,0.00,-13.04,41.59,10.67,1,1,1,-42.67,2.43E-015,4.57,65.53,8.54,12.80,4.27,2418.88,TARP,TARP,566.71,45.53,45.53,0.00,15,0,0,Yes
Zone Information,CORRIDOR_SE_FLR_4,0.0,0.00,0.00,0.00,-13.04,41.59,14.94,1,1,1,-42.67,2.43E-015,4.57,65.53,12.80,17.07,4.27,2418.88,TARP,TARP,566.71,45.53,45.53,0.00,15,0,0,Yes
Zone Information,DINING_FLR_5,0.0,0.00,0.00,0.00,-11.43,54.86,19.21,1,1,1,-22.86,4.29E-015,39.62,70.10,17.07,21.34,4.27,2974.04,TARP,TARP,696.77,227.67,191.91,35.76,6,1,0,Yes
Zone Information,ER_EXAM1_MULT4_FLR_1,0.0,0.00,0.00,0.00,-2.29,42.67,2.13,1,4,1,-4.57,2.80E-015,39.62,45.72,0.00,4.27,4.27,118.96,TARP,TARP,27.87,26.02,24.07,0.00,6,1,0,Yes
