! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,BANQUET_FLR_6,0.0,0.00,0.00,0.00,26.37,17.68,17.68,1,1,1,10.36,42.37,12.50,22.86,16.15,19.20,3.05,1010.89,TARP,DOE-2,331.66,97.55,65.34,32.21,6,1,0,Yes
Zone Information,BASEMENT,0.0,0.00,0.00,0.00,41.45,11.51,-1.22,1,1,1,0.00,86.56,0.00,22.86,-2.44,0.00,2.44,4826.41,TARP,DOE-2,1978.83,0.00,0.00,0.00,13,0,0,Yes
Zone Information,CAFE_FLR_1,0.0,0.00,0.00,0.00,70.26,2.90,1.98,1,1,1,53.95,86.56,0.00,5.79,0.00,3.96,3.96,748.35,TARP,DOE-2,188.86,152.17,84.60,65.62,7,2,0,Yes
Zone Information,CORRIDOR_FLR_3,0.0,0.00,0.00,0.00,43.28,14.33,8.53,1,4,1,4.57,81.99,5.79,22.86,7.01,10.06,3.05,1186.91,TARP,DOE-2,389.40,48.31,32.37,15.94,20,4,0,Yes
Zone Information,CORRIDOR_FLR_6,0.0,0.00,0.00,0.00,41.51,13.35,17.68,1,1,1,4.57,81.99,5.79,22.86,16.15,19.20,3.05,1256.16,TARP,DOE-2,412.12,85.47,57.25,28.22,15,3,0,Yes
Zone Information,DINING_FLR_6,0.0,0.00,0.00,0.00,63.55,17.68,17.68,1,1,1,47.55,79.55,12.50,22.86,16.15,19.20,3.05,1010.89,TARP,DOE-2,331.66,97.55,65.34,32.21,6,1,0,Yes
Zone Information,KITCHEN_FLR_6,0.0,0.00,0.00,0.00,82.99,14.11,17.68,1,1,1,79.55,86.56,5.79,22.86,16.15,19.20,3.05,314.87,TARP,DOE-2,103.30,87.33,60.95,26.38,8,3,0,Yes
Zone Information,LAUNDRY_FLR_1,0.0,0.00,0.00,0.00,84.28,14.33,1.98,1,1,1,81.99,86.56,5.79,22.86,0.00,3.96,3.96,309.22,TARP,DOE-2,78.04,85.75,83.80,0.00,6,1,0,Yes
Zone Information,LOBBY_FLR_1,0.0,0.00,0.00,0.00,38.29,12.45,1.98,1,1,1,0.00,81.99,0.00,22.86,0.00,3.96,3.96,5183.56,TARP,DOE-2,1308.19,434.79,345.64,85.24,18,3,0,Yes
Zone Information,MECH_FLR_1,0.0,0.00,0.00,0.00,61.87,17.68,1.98,1,1,1,53.95,69.80,12.50,22.86,0.00,3.96,3.96,650.80,TARP,DOE-2,164.24,62.80,62.80,0.00,6,0,0,Yes
Zone Information,RETAIL_1_FLR_1,0.0,0.00,0.00,0.00,5.79,2.90,1.98,1,1,1,0.00,11.58,0.00,5.79,0.00,3.96,3.96,265.76,TARP,DOE-2,67.07,68.84,45.54,23.30,6,1,0,Yes
Zone Information,RETAIL_2_FLR_1,0.0,0.00,0.00,0.00,5.79,9.14,1.98,1,1,1,0.00,11.58,5.79,12.50,0.00,3.96,3.96,307.76,TARP,DOE-2,77.67,26.57,24.62,0.00,6,1,0,Yes
Zone Information,ROOM_1_FLR_3,0.0,0.00,0.00,0.00,2.29,10.06,8.53,1,4,1,0.00,4.57,5.79,14.33,7.01,10.06,3.05,118.94,TARP,DOE-2,39.02,39.95,26.77,13.18,6,2,0,Yes
Zone Information,ROOM_1_FLR_6,0.0,0.00,0.00,0.00,2.29,10.06,17.68,1,1,1,0.00,4.57,5.79,14.33,16.15,19.20,3.05,118.94,TARP,DOE-2,39.02,39.95,26.76,13.19,6,2,0,Yes
Zone Information,ROOM_2_FLR_3,0.0,0.00,0.00,0.00,2.29,18.59,8.53,1,4,1,0.00,4.57,14.33,22.86,7.01,10.06,3.05,118.93,TARP,DOE-2,39.02,39.95,26.77,13.18,6,2,0,Yes
Zone Information,ROOM_2_FLR_6,0.0,0.00,0.00,0.00,2.29,18.59,17.68,1,1,1,0.00,4.57,14.33,22.86,16.15,19.20,3.05,118.93,TARP,DOE-2,39.02,39.95,26.76,13.19,6,2,0,Yes
Zone Information,ROOM_3_MULT19_FLR_3,0.0,0.00,0.00,0.00,8.53,9.14,8.53,1,76,1,6.71,10.36,5.79,12.50,7.01,10.06,3.05,74.75,TARP,DOE-2,24.52,11.15,7.47,3.68,6,1,0,Yes
