! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,CORRIDORFLR1,0.0,0.00,0.00,0.00,-26.68,-9.43,1.68,1,1,1,-54.91,-4.87E-002,-18.34,-4.88E-002,0.00,3.35,3.35,504.62,TARP,TARP,150.51,32.70,20.94,9.82,29,4,2,Yes
Zone Information,CORRIDORFLR2,0.0,0.00,0.00,0.00,-26.88,-10.72,4.72,1,1,1,-54.91,-4.87E-002,-18.34,-8.28,3.35,6.10,2.74,344.05,TARP,TARP,125.42,18.39,15.77,2.62,22,2,0,Yes
Zone Information,CORRIDORFLR3,0.0,0.00,0.00,0.00,-26.88,-10.72,7.47,1,1,1,-54.91,-4.87E-002,-18.34,-8.28,6.10,8.84,2.74,344.05,TARP,TARP,125.42,18.39,15.77,2.62,22,2,0,Yes
Zone Information,CORRIDORFLR4,0.0,0.00,0.00,0.00,-26.88,-10.72,10.21,1,1,1,-54.91,-4.87E-002,-18.34,-8.28,8.84,11.58,2.74,344.05,TARP,TARP,125.42,18.39,15.77,2.62,22,2,0,Yes
Zone Information,ELEVATORCOREFLR1,0.0,0.00,0.00,0.00,-27.79,-14.22,1.68,1,1,1,-28.70,-26.87,-18.34,-10.11,0.00,3.35,3.35,50.46,TARP,TARP,15.05,6.13,6.13,0.00,6,0,0,Yes
Zone Information,ELEVATORCOREFLR2,0.0,0.00,0.00,0.00,-27.79,-14.22,4.72,1,1,1,-28.70,-26.87,-18.34,-10.11,3.35,6.10,2.74,41.29,TARP,TARP,15.05,5.02,5.02,0.00,6,0,0,Yes
Zone Information,ELEVATORCOREFLR3,0.0,0.00,0.00,0.00,-27.79,-14.22,7.47,1,1,1,-28.70,-26.87,-18.34,-10.11,6.10,8.84,2.74,41.29,TARP,TARP,15.05,5.02,5.02,0.00,6,0,0,Yes
Zone Information,ELEVATORCOREFLR4,0.0,0.00,0.00,0.00,-27.79,-14.22,10.21,1,1,1,-28.70,-26.87,-18.34,-10.11,8.84,11.58,2.74,41.29,TARP,TARP,15.05,5.02,5.02,0.00,6,0,0,Yes
Zone Information,EMPLOYEELOUNGEFLR1,0.0,0.00,0.00,0.00,-42.57,-14.22,1.68,1,1,1,-44.55,-40.59,-18.34,-10.11,0.00,3.35,3.35,109.33,TARP,TARP,32.61,13.29,11.64,1.65,6,1,0,Yes
Zone Information,EXERCISECENTERFLR1,0.0,0.00,0.00,0.00,-21.84,-14.22,1.68,1,1,1,-23.82,-19.86,-18.34,-10.11,0.00,3.35,3.35,109.33,TARP,TARP,32.61,13.29,11.64,1.65,6,1,0,Yes
Zone Information,FRONTLOUNGEFLR1,0.0,0.00,0.00,0.00,-9.95,-4.16,1.68,1,1,1,-19.86,-4.87E-002,-8.28,-4.88E-002,0.00,3.35,3.35,546.70,TARP,TARP,163.06,94.02,79.19,14.83,7,5,0,Yes
Zone Information,FRONTOFFICEFLR1,0.0,0.00,0.00,0.00,-11.94,-14.22,1.68,1,1,1,-19.86,-4.01,-18.34,-10.11,0.00,3.35,3.35,437.33,TARP,TARP,130.44,53.14,46.56,6.58,7,4,0,Yes
Zone Information,FRONTSTAIRSFLR1,0.0,0.00,0.00,0.00,-1.27,-14.22,1.68,1,1,1,-2.49,-4.87E-002,-18.34,-10.11,0.00,3.35,3.35,67.28,TARP,TARP,20.07,35.77,33.82,0.00,6,1,0,Yes
Zone Information,FRONTSTAIRSFLR2,0.0,0.00,0.00,0.00,-1.27,-14.22,4.72,1,1,1,-2.49,-4.87E-002,-18.34,-10.11,3.35,6.10,2.74,55.05,TARP,TARP,20.07,29.26,29.26,0.00,6,0,0,Yes
Zone Information,FRONTSTAIRSFLR3,0.0,0.00,0.00,0.00,-1.27,-14.22,7.47,1,1,1,-2.49,-4.87E-002,-18.34,-10.11,6.10,8.84,2.74,55.05,TARP,TARP,20.07,29.26,29.26,0.00,6,0,0,Yes
Zone Information,FRONTSTAIRSFLR4,0.0,0.00,0.00,0.00,-1.27,-14.22,10.21,1,1,1,-2.49,-4.87E-002,-18.34,-10.11,8.84,11.58,2.74,55.05,TARP,TARP,20.07,29.26,29.26,0.00,6,0,0,Yes
Zone Information,FRONTSTORAGEFLR1,0.0,0.00,0.00,0.00,-3.25,-14.22,1.68,1,1,1,-4.01,-2.49,-18.34,-10.11,0.00,3.35,3.35,42.05,TARP,TARP,12.54,5.11,5.11,0.00,6,0,0,Yes
Zone Information,FRONTSTORAGEFLR2,0.0,0.00,0.00,0.00,-3.25,-14.22,4.72,1,1,1,-4.01,-2.49,-18.34,-10.11,3.35,6.10,2.74,34.40,TARP,TARP,12.54,4.18,4.18,0.00,6,0,0,Yes
Zone Information,FRONTSTORAGEFLR3,0.0,0.00,0.00,0.00,-3.25,-14.22,7.47,1,1,1,-4.01,-2.49,-18.34,-10.11,6.10,8.84,2.74,34.40,TARP,TARP,12.54,4.18,4.18,0.00,6,0,0,Yes
Zone Information,FRONTSTORAGEFLR4,0.0,0.00,0.00,0.00,-3.25,-14.22,10.21,1,1,1,-4.01,-2.49,-18.34,-10.11,8.84,11.58,2.74,34.40,TARP,TARP,12.54,4.18,4.18,0.00,6,0,0,Yes
Zone Information,GUESTROOM101,0.0,0.00,0.00,0.00,-42.57,-4.16,1.68,1,1,1,-44.55,-40.59,-8.28,-4.88E-002,0.00,3.35,3.35,109.34,TARP,TARP,32.61,13.29,11.64,1.65,6,1,0,Yes
Zone Information,GUESTROOM102,0.0,0.00,0.00,0.00,-46.53,-4.16,1.68,1,1,1,-48.51,-44.55,-8.28,-4.88E-002,0.00,3.35,3.35,109.34,TARP,TARP,32.61,13.29,11.64,1.65,6,1,0,Yes
Zone Information,GUESTROOM103,0.0,0.00,0.00,0.00,-50.49,-4.16,1.68,1,1,1,-52.47,-48.51,-8.28,-4.88E-002,0.00,3.35,3.35,109.34,TARP,TARP,32.61,13.29,11.64,1.65,6,1,0,Yes
Zone Information,GUESTROOM104,0.0,0.00,0.00,0.00,-50.49,-14.22,1.68,1,1,1,-52.47,-48.51,-18.34,-10.11,0.00,3.35,3.35,109.33,TARP,TARP,32.61,13.29,11.64,1.65,6,1,0,Yes
Zone Information,GUESTROOM105,0.0,0.00,0.00,0.00,-46.53,-14.22,1.68,1,1,1,-48.51,-44.55,-18.34,-10.11,0.00,3.35,3.35,109.33,TARP,TARP,32.61,13.29,11.64,1.65,6,1,0,Yes
Zone Information,GUESTROOM201,0.0,0.00,0.00,0.00,-2.03,-4.16,4.72,1,1,1,-4.01,-4.87E-002,-8.28,-4.88E-002,3.35,6.10,2.74,89.46,TARP,TARP,32.61,33.45,31.80,1.65,6,1,0,Yes
Zone Information,GUESTROOM202_205,0.0,0.00,0.00,0.00,-11.94,-4.16,4.72,1,1,1,-19.86,-4.01,-8.28,-4.88E-002,3.35,6.10,2.74,357.84,TARP,TARP,130.45,43.48,36.90,6.58,6,4,0,Yes
Zone Information,GUESTROOM206_208,0.0,0.00,0.00,0.00,-26.26,-4.16,4.72,1,1,1,-32.66,-19.86,-8.28,-4.88E-002,3.35,6.10,2.74,289.02,TARP,TARP,105.36,35.12,28.42,6.70,8,3,0,Yes
Zone Information,GUESTROOM209_212,0.0,0.00,0.00,0.00,-40.59,-4.16,4.72,1,1,1,-48.51,-32.66,-8.28,-4.88E-002,3.35,6.10,2.74,357.84,TARP,TARP,130.45,43.48,36.90,6.58,9,4,0,Yes
Zone Information,GUESTROOM213,0.0,0.00,0.00,0.00,-50.49,-4.16,4.72,1,1,1,-52.47,-48.51,-8.28,-4.88E-002,3.35,6.10,2.74,89.46,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM214,0.0,0.00,0.00,0.00,-50.49,-14.22,4.72,1,1,1,-52.47,-48.51,-18.34,-10.11,3.35,6.10,2.74,89.45,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM215_218,0.0,0.00,0.00,0.00,-40.59,-14.22,4.72,1,1,1,-48.51,-32.66,-18.34,-10.11,3.35,6.10,2.74,357.81,TARP,TARP,130.44,43.48,36.90,6.58,8,4,0,Yes
Zone Information,GUESTROOM219,0.0,0.00,0.00,0.00,-30.68,-14.22,4.72,1,1,1,-32.66,-28.70,-18.34,-10.11,3.35,6.10,2.74,89.45,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM220_223,0.0,0.00,0.00,0.00,-15.90,-14.22,4.72,1,1,1,-23.82,-7.97,-18.34,-10.11,3.35,6.10,2.74,357.81,TARP,TARP,130.44,43.48,36.90,6.58,7,4,0,Yes
Zone Information,GUESTROOM224,0.0,0.00,0.00,0.00,-5.99,-14.22,4.72,1,1,1,-7.97,-4.01,-18.34,-10.11,3.35,6.10,2.74,89.45,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM301,0.0,0.00,0.00,0.00,-2.03,-4.16,7.47,1,1,1,-4.01,-4.87E-002,-8.28,-4.88E-002,6.10,8.84,2.74,89.46,TARP,TARP,32.61,33.45,31.80,1.65,6,1,0,Yes
Zone Information,GUESTROOM302_305,0.0,0.00,0.00,0.00,-11.94,-4.16,7.47,1,1,1,-19.86,-4.01,-8.28,-4.88E-002,6.10,8.84,2.74,357.84,TARP,TARP,130.45,43.48,36.90,6.58,6,4,0,Yes
Zone Information,GUESTROOM306_308,0.0,0.00,0.00,0.00,-26.26,-4.16,7.47,1,1,1,-32.66,-19.86,-8.28,-4.88E-002,6.10,8.84,2.74,289.02,TARP,TARP,105.36,35.12,28.42,6.70,6,3,0,Yes
Zone Information,GUESTROOM309_312,0.0,0.00,0.00,0.00,-40.59,-4.16,7.47,1,1,1,-48.51,-32.66,-8.28,-4.88E-002,6.10,8.84,2.74,357.84,TARP,TARP,130.45,43.48,36.90,6.58,6,4,0,Yes
