! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,LGSTORE1,0.0,0.00,0.00,0.00,7.62,11.43,2.59,1,1,1,0.00,15.24,0.00,22.86,0.00,5.18,5.18,1805.20,TARP,TARP,348.39,276.30,247.76,20.75,6,8,0,Yes
Zone Information,LGSTORE2,0.0,0.00,0.00,0.00,53.34,11.43,2.59,1,1,1,45.72,60.96,0.00,22.86,0.00,5.18,5.18,1805.20,TARP,TARP,348.39,157.89,129.43,20.70,6,8,0,Yes
Zone Information,SMSTORE1,0.0,0.00,0.00,0.00,19.05,11.43,2.59,1,1,1,15.24,22.86,0.00,22.86,0.00,5.18,5.18,902.60,TARP,TARP,174.19,78.94,64.67,10.37,6,4,0,Yes
Zone Information,SMSTORE2,0.0,0.00,0.00,0.00,26.67,11.43,2.59,1,1,1,22.86,30.48,0.00,22.86,0.00,5.18,5.18,902.60,TARP,TARP,174.19,78.94,64.71,10.35,6,4,0,Yes
Zone Information,SMSTORE3,0.0,0.00,0.00,0.00,34.29,11.43,2.59,1,1,1,30.48,38.10,0.00,22.86,0.00,5.18,5.18,902.60,TARP,TARP,174.19,78.94,64.71,10.35,6,4,0,Yes
Zone Information,SMSTORE4,0.0,0.00,0.00,0.00,41.91,11.43,2.59,1,1,1,38.10,45.72,0.00,22.86,0.00,5.18,5.18,902.60,TARP,TARP,174.19,78.94,64.71,10.35,6,4,0,Yes
Zone Information,SMSTORE5,0.0,0.00,0.00,0.00,64.77,11.43,2.59,1,1,1,60.96,68.58,0.00,22.86,0.00,5.18,5.18,902.60,TARP,TARP,174.19,78.94,64.71,10.35,6,4,0,Yes
Zone Information,SMSTORE6,0.0,0.00,0.00,0.00,72.39,11.43,2.59,1,1,1,68.58,76.20,0.00,22.86,0.00,5.18,5.18,902.60,TARP,TARP,174.19,78.94,64.71,10.35,6,4,0,Yes
Zone Information,SMSTORE7,0.0,0.00,0.00,0.00,80.01,11.43,2.59,1,1,1,76.20,83.82,0.00,22.86,0.00,5.18,5.18,902.60,TARP,TARP,174.19,78.94,64.71,10.35,6,4,0,Yes
Zone Information,SMSTORE8,0.0,0.00,0.00,0.00,87.63,11.43,2.59,1,1,1,83.82,91.44,0.00,22.86,0.00,5.18,5.18,902.60,TARP,TARP,174.19,197.36,183.13,10.35,6,4,0,Yes
