! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,BATH_ZN_1_FLR_1,0.0,0.00,51.00,0.00,9.50,56.00,2.00,1,1,1,0.00,19.00,51.00,61.00,0.00,4.00,4.00,760.00,TARP,TARP,190.00,40.00,26.00,14.00,7,1,0,Yes
Zone Information,CAFETERIA_ZN_1_FLR_1,0.0,19.00,46.00,0.00,29.50,53.50,2.00,1,1,1,19.00,40.00,46.00,61.00,0.00,4.00,4.00,1260.00,TARP,TARP,315.00,144.00,91.65,50.40,7,4,0,Yes
Zone Information,COMPUTER_CLASS_ZN_1_FLR_1,0.0,-18.00,73.00,0.00,-9.00,77.50,2.00,1,1,1,-18.00,0.00,73.00,82.00,0.00,4.00,4.00,648.00,TARP,TARP,162.00,72.00,44.85,25.20,6,3,0,Yes
Zone Information,CORNER_CLASS_1_POD_1_ZN_1_FLR_1,0.0,-64.00,0.00,0.00,-58.50,4.50,2.00,1,1,1,-64.00,-53.00,0.00,9.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_1_POD_2_ZN_1_FLR_1,0.0,-64.00,30.00,0.00,-58.50,34.50,2.00,1,1,1,-64.00,-53.00,30.00,39.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_1_POD_3_ZN_1_FLR_1,0.0,-64.00,61.00,0.00,-58.50,65.50,2.00,1,1,1,-64.00,-53.00,61.00,70.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_2_POD_1_ZN_1_FLR_1,0.0,-64.00,12.00,0.00,-58.50,16.50,2.00,1,1,1,-64.00,-53.00,12.00,21.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_2_POD_2_ZN_1_FLR_1,0.0,-64.00,42.00,0.00,-58.50,46.50,2.00,1,1,1,-64.00,-53.00,42.00,51.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_2_POD_3_ZN_1_FLR_1,0.0,-64.00,73.00,0.00,-58.50,77.50,2.00,1,1,1,-64.00,-53.00,73.00,82.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.10,27.95,6,4,0,Yes
Zone Information,CORRIDOR_POD_1_ZN_1_FLR_1,0.0,-64.00,9.00,0.00,-32.00,10.50,2.00,1,1,1,-64.00,0.00,9.00,12.00,0.00,4.00,4.00,768.00,TARP,TARP,192.00,12.00,7.80,4.20,8,1,0,Yes
