! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,AUDITORIUM_ZN_1_FLR_1,0.0,79.00,75.00,0.00,98.00,88.00,4.00,1,1,1,79.00,117.00,75.00,101.00,0.00,8.00,4.00,7904.00,TARP,TARP,988.00,304.00,191.75,106.40,11,4,0,Yes
Zone Information,AUX_GYM_ZN_1_FLR_1,0.0,117.00,14.00,0.00,129.00,40.00,4.00,1,1,1,117.00,141.00,14.00,66.00,0.00,8.00,4.00,9984.00,TARP,TARP,1248.00,608.00,385.45,266.35,8,43,0,Yes
Zone Information,BATHROOMS_ZN_1_FLR_1,0.0,64.00,90.00,0.00,71.50,97.00,2.00,1,1,1,64.00,79.00,90.00,104.00,0.00,4.00,4.00,840.00,TARP,TARP,210.00,72.00,46.80,25.20,8,2,0,Yes
Zone Information,BATHROOMS_ZN_1_FLR_2,0.0,64.00,90.00,4.00,71.50,97.00,6.00,1,1,1,64.00,79.00,90.00,104.00,4.00,8.00,4.00,840.00,TARP,TARP,210.00,72.00,46.80,25.20,8,2,0,Yes
Zone Information,CAFETERIA_ZN_1_FLR_1,0.0,117.00,75.00,0.00,129.00,88.00,2.00,1,1,1,117.00,141.00,75.00,101.00,0.00,4.00,4.00,2496.00,TARP,TARP,624.00,200.00,128.05,70.00,6,4,0,Yes
Zone Information,CORNER_CLASS_1_POD_1_ZN_1_FLR_1,0.0,0.00,0.00,0.00,5.50,4.50,2.00,1,1,1,0.00,11.00,0.00,9.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_1_POD_1_ZN_1_FLR_2,0.0,0.00,0.00,4.00,5.50,4.50,6.00,1,1,1,0.00,11.00,0.00,9.00,4.00,8.00,4.00,396.00,TARP,TARP,99.00,80.00,52.00,28.00,6,2,0,Yes
Zone Information,CORNER_CLASS_1_POD_2_ZN_1_FLR_1,0.0,0.00,40.00,0.00,5.50,44.50,2.00,1,1,1,0.00,11.00,40.00,49.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_1_POD_2_ZN_1_FLR_2,0.0,0.00,40.00,4.00,5.50,44.50,6.00,1,1,1,0.00,11.00,40.00,49.00,4.00,8.00,4.00,396.00,TARP,TARP,99.00,80.00,52.00,28.00,6,2,0,Yes
Zone Information,CORNER_CLASS_1_POD_3_ZN_1_FLR_1,0.0,0.00,81.00,0.00,5.50,85.50,2.00,1,1,1,0.00,11.00,81.00,90.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_1_POD_3_ZN_1_FLR_2,0.0,0.00,81.00,4.00,5.50,85.50,6.00,1,1,1,0.00,11.00,81.00,90.00,4.00,8.00,4.00,396.00,TARP,TARP,99.00,80.00,52.00,28.00,6,2,0,Yes
Zone Information,CORNER_CLASS_2_POD_1_ZN_1_FLR_1,0.0,0.00,14.00,0.00,5.50,18.50,2.00,1,1,1,0.00,11.00,14.00,23.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_2_POD_1_ZN_1_FLR_2,0.0,0.00,14.00,4.00,5.50,18.50,6.00,1,1,1,0.00,11.00,14.00,23.00,4.00,8.00,4.00,396.00,TARP,TARP,99.00,80.00,52.00,28.00,6,2,0,Yes
Zone Information,CORNER_CLASS_2_POD_2_ZN_1_FLR_1,0.0,0.00,54.00,0.00,5.50,58.50,2.00,1,1,1,0.00,11.00,54.00,63.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_2_POD_2_ZN_1_FLR_2,0.0,0.00,54.00,4.00,5.50,58.50,6.00,1,1,1,0.00,11.00,54.00,63.00,4.00,8.00,4.00,396.00,TARP,TARP,99.00,80.00,52.00,28.00,6,2,0,Yes
Zone Information,CORNER_CLASS_2_POD_3_ZN_1_FLR_1,0.0,0.00,95.00,0.00,5.50,99.50,2.00,1,1,1,0.00,11.00,95.00,104.00,0.00,4.00,4.00,396.00,TARP,TARP,99.00,80.00,50.05,28.00,6,4,0,Yes
Zone Information,CORNER_CLASS_2_POD_3_ZN_1_FLR_2,0.0,0.00,95.00,4.00,5.50,99.50,6.00,1,1,1,0.00,11.00,95.00,104.00,4.00,8.00,4.00,396.00,TARP,TARP,99.00,80.00,52.00,28.00,6,2,0,Yes
Zone Information,CORRIDOR_POD_1_ZN_1_FLR_1,0.0,0.00,9.00,0.00,32.00,11.50,2.00,1,1,1,0.00,64.00,9.00,14.00,0.00,4.00,4.00,1280.00,TARP,TARP,320.00,20.00,13.00,7.00,8,1,0,Yes
